Date,Open ,High,Low,Close,Adj Close,Volume
7-Aug-25,"115,030.05","117,676.91","114,279.71","117,496.90","117,496.90","64,051,649,681"
6-Aug-25,"114,140.91","115,737.84","113,372.25","115,028.00","115,028.00","56,379,133,510"
5-Aug-25,"115,072.19","115,117.44","112,701.11","114,141.45","114,141.45","61,039,182,286"
4-Aug-25,"114,223.92","115,729.47","114,130.41","115,071.88","115,071.88","35,783,028,986"
3-Aug-25,"112,525.80","114,747.42","111,943.80","114,217.67","114,217.67","48,099,615,826"
2-Aug-25,"113,320.39","114,021.60","112,005.77","112,526.91","112,526.91","56,870,866,000"
1-Aug-25,"115,738.95","116,060.77","112,724.45","113,320.09","113,320.09","91,294,530,181"
31-Jul-25,"117,833.63","118,919.98","115,505.22","115,758.20","115,758.20","69,370,346,018"
30-Jul-25,"117,921.99","118,780.73","115,800.83","117,831.19","117,831.19","68,896,148,592"
29-Jul-25,"117,938.59","119,273.87","116,987.37","117,922.15","117,922.15","68,463,107,433"
28-Jul-25,"119,457.52","119,819.79","117,441.44","117,924.48","117,924.48","64,822,943,193"
27-Jul-25,"117,944.73","119,815.59","117,859.69","119,448.49","119,448.49","54,683,390,892"
26-Jul-25,"117,644.84","118,335.69","117,181.23","117,947.37","117,947.37","48,508,954,046"
25-Jul-25,"118,368.00","118,486.98","114,759.82","117,635.88","117,635.88","104,857,024,569"
24-Jul-25,"118,770.98","119,535.45","117,247.97","118,368.00","118,368.00","72,627,318,560"
23-Jul-25,"119,997.45","120,113.35","117,391.39","118,754.96","118,754.96","66,608,604,537"
22-Jul-25,"117,426.50","120,269.97","116,233.23","119,995.41","119,995.41","79,217,583,118"
21-Jul-25,"117,306.47","119,671.56","116,584.40","117,439.54","117,439.54","69,820,091,744"
20-Jul-25,"117,944.11","118,865.03","116,550.13","117,300.79","117,300.79","57,515,447,231"
19-Jul-25,"117,998.13","118,541.40","117,388.41","117,939.98","117,939.98","47,564,562,765"
18-Jul-25,"119,284.11","120,851.91","116,925.98","118,003.23","118,003.23","77,945,799,785"
17-Jul-25,"118,738.51","120,999.61","117,508.22","119,289.84","119,289.84","72,363,841,798"
16-Jul-25,"117,777.19","120,065.52","117,064.82","118,738.51","118,738.51","72,162,029,070"
15-Jul-25,"119,853.85","119,935.56","115,765.69","117,777.19","117,777.19","98,321,661,181"
14-Jul-25,"119,115.79","123,091.61","118,959.20","119,849.70","119,849.70","181,746,419,401"
13-Jul-25,"117,432.20","119,449.57","117,265.44","119,116.12","119,116.12","49,021,091,807"
12-Jul-25,"117,530.71","118,219.90","116,977.02","117,435.23","117,435.23","45,524,560,304"
11-Jul-25,"115,986.23","118,856.48","115,245.69","117,516.99","117,516.99","86,928,361,085"
10-Jul-25,"111,329.20","116,608.78","110,660.75","115,987.20","115,987.20","95,911,605,728"
9-Jul-25,"108,950.27","111,925.38","108,357.68","111,326.55","111,326.55","57,927,418,065"
8-Jul-25,"108,298.23","109,198.97","107,499.55","108,950.27","108,950.27","44,282,204,127"
7-Jul-25,"109,235.33","109,710.25","107,527.05","108,299.85","108,299.85","45,415,696,597"
6-Jul-25,"108,231.19","109,731.63","107,847.02","109,232.07","109,232.07","36,746,020,463"
5-Jul-25,"108,015.84","108,381.34","107,842.27","108,231.18","108,231.18","30,615,537,520"
4-Jul-25,"109,635.66","109,751.98","107,296.38","108,034.34","108,034.34","42,616,442,656"
3-Jul-25,"108,845.02","110,541.46","108,605.80","109,647.98","109,647.98","50,494,742,270"
2-Jul-25,"105,703.10","109,763.66","105,157.40","108,859.32","108,859.32","56,248,657,737"
1-Jul-25,"107,144.38","107,550.68","105,270.23","105,698.28","105,698.28","44,110,692,247"
30-Jun-25,"108,383.44","108,798.79","106,759.65","107,135.34","107,135.34","42,064,804,590"
